text,true_emotion,predicted_emotion
Losing to Villa...'@M0tivati0nQuote: Most of the things people worry about are things that won't even matter to them a few months from now.',fear,sadness
Having a terrific Tuesday? Crush it today with the Power of 4. Treat your internet like Pizza =D \n#PowerOf4,fear,joy
So about 18mths ago i signed up to @Lumo_Energy for their @VirginAustralia / Velocity FF deal. 18 months in still no FF points #shocking,fear,anger
@LethalWeaponFOX This show SUCKS! #lame #awful you even used the same names?? lol SO SO bad! #Failed #notworth2minutes. Off air SOON,fear,anger
#Awareness seek #shelter .#Letgo Old #habit of chasing #desires resultin in #anger #fear #worry .#Choose #Satisfaction within #Peace #Relax,fear,anger
@MacDsmash you should get some @SSB_Swedish delight,joy,joy
"@diehimbeertonis She developed her 'forced smile'. I can force myself to describe it 'a little hearty maybe, sanki biraz':)",joy,joy
Metal keeps you young and spry and keeps your hair luxurious.\n\nYES\n\nSHUT UP AND LISTEN TO ME,joy,anger
@bruins_514 @gorddownie @thehipdotcom It would be #TragicallyHip if they can #help @TOYSFORASMILE make #hospitalized  #sick #kids #smile 😊✌❤,joy,joy
@harrietemmett great minds think alike. ,joy,joy
"It's #HobbitDay! \nHobbit's give gifts on their birthdays, so I'm sharing the gift of #glee today! Find something that makes you happy!",joy,joy
@yungdoujin wouldn't that basically be sparkling water,joy,joy
"@Casper10666 I assure you there is no laughter, but increasing anger at the costs, and arrogance of Westminster.",joy,anger
So far ours greet have raised £250 for @HGatChristmas with more to come in #sparkling @CllrJohnFox @simoncotton69,joy,joy
"When we give cheerfully and accept gratefully, everyone is blessed. »Maya Angelou",joy,joy
@harrietemmett great minds think alike. #rejoice,joy,joy
@HunterDean_ [he gives a gleeful squeak and wraps around you] All mine!,joy,joy
@hesham786 that's the spirit #optimism,joy,joy
@Communism_Kills i get the subway melt and make sure it's only hearty italian bread... black olives are a must though,joy,joy
Nawaz Sharif is getting more funnier than @kapilsharmak9 day by day. #laughter #challenge #kashmir #baloch,joy,joy
Tutoring gives me such an exhilarating feeling. I love helping people 😌,joy,joy
I hate it when im singing and some idiot thinks they can just join in with me like...this is not fcking glee #MeanRikonaBot,joy,anger
@hesham786 that's the spirit ,joy,joy
@chencouture LMAO Is it that 'so slutty' hater girl? That video was hilarious. 😂,joy,joy
incredible that anthony weiner has been caught chasing a busty milkmaid across a park at double speed while jaunty music plays,joy,joy
watching this uni reveal is so depressing i miss stingrays :(,sadness,sadness
"Stars, when you shine,\nYou know how I feel.\nScent of the pine, \nYou know how I feel.\nFreedom is mine,\nI know how I feel.\nI'm feelin' good.",sadness,joy
"@LeePorter94 @DomMcGovern_ hi Dom I saw u at Notts county away, looking for 1 mufc away ticket will pay #blues",sadness,joy
All I want to do is watch some netflix but I am stuck here in class. #depressing,sadness,sadness
"@Eeevah14 don't I know it, try not to fret my sweet little pupper",sadness,sadness
im thoroughly in love w zen and jumin and i dont think id even have the patience for either of them irl im old and weary,sadness,joy
"@GolfStrat out of Rory starts. What would your B group look like w/o him? Hideki and Walker, and throw Reed or Knox on the pine?",sadness,anger
"Hello my dear friends, I will be back online this Friday night. I miss you! #sober #sobriety #recovery",sadness,joy
@trashcami this cured my depression,sadness,joy
If I had a little bit of extra money I would blow the whole paycheck and go to one of the two of @KygoMusic's concerts in LA. #serious,sadness,joy
“Dyslexia is the affliction of a frozen genius.”― Stephen Richards,sadness,sadness
Soooo badly want to dye my hair dark but have never been dark before soooo torn 😭😭😭,sadness,fear
"Just watched Django Unchained, Other people may frown, but I titter in delight! 2/5",sadness,joy
@kayleighmcenany  @DonaldJTrumpJr Is that really all you can offer for those who sacrifice daily to keep you safe...? @kayleighmcenany #sad,sadness,sadness
"Before the year ends I'll probably get master 12s or flu games, true blues, and space jams.",sadness,joy
"@DxfyingGrxvity - frustration, looking up at Elphaba in a frown of aggravation. Her high pitched voice was growing more and more --",sadness,anger
"@GRIPLIKEAVICE_ I wouldn't mind if it didn't you know, threaten my job when I disagree. Puts a damper on things.",sadness,anger
"We are about a little over an hour away! We will arrive soon, do not fret!",sadness,joy
Buddha doesn't possess enough power to deliver you from your affliction!,sadness,anger
"@CovinoandRich just heard back2back,  guess that's why they call it the blues &amp; she's got the look, but I can only sing tickle sacks version",sadness,joy
